log_id,municipality_code,citizen_id,category,action_type,target_age_group,action_date,frequency_score,recency_days,engagement_value
L00001,073229,C0001,育児,子育て相談,30代子育て層,2024-09-04,5,1,6.2
L00002,073229,C0001,育児,子育て相談,30代子育て層,2024-12-24,5,1,7.7
L00003,073229,C0001,育児,子育て施設チェックイン,30代子育て層,2024-12-02,5,1,6.8
L00004,073229,C0001,育児,子育て施設チェックイン,30代子育て層,2024-08-28,5,1,6.2
L00005,073229,C0001,育児,子育て施設チェックイン,30代子育て層,2024-11-24,5,1,6.1
L00006,073229,C0001,育児,子育て施設チェックイン,30代子育て層,2024-11-20,5,1,6.8
L00007,073229,C0001,育児,子育て施設チェックイン,30代子育て層,2024-09-13,5,1,7.9
L00008,073229,C0001,育児,子育て施設チェックイン,30代子育て層,2024-08-13,5,1,7.6
L00009,073229,C0001,育児,子育て施設チェックイン,30代子育て層,2024-08-12,5,1,6.1
L00010,073229,C0001,育児,子育て相談,30代子育て層,2024-07-30,5,1,5.8
L00011,073229,C0001,育児,子育て施設チェックイン,30代子育て層,2024-09-30,5,1,7.3
L00012,073229,C0001,育児,子育て相談,30代子育て層,2024-10-29,5,1,7.1
L00013,073229,C0001,育児,保育所申込(窓口),30代子育て層,2024-10-08,5,1,5.7
L00014,073229,C0001,育児,子育て施設チェックイン,30代子育て層,2024-12-11,5,1,7.4
L00015,073229,C0001,育児,子育て相談,30代子育て層,2024-11-28,5,1,6.1
L00016,073229,C0001,育児,子育て施設チェックイン,30代子育て層,2024-12-20,5,1,6.2
L00017,073229,C0001,教育,図書館利用,30代子育て層,2024-09-01,1,29,4.8
L00018,073229,C0002,育児,子育て施設チェックイン,30代子育て層,2024-08-26,5,6,7.5
L00019,073229,C0002,育児,子育て相談,30代子育て層,2024-12-25,5,6,7.4
L00020,073229,C0002,育児,子育て施設チェックイン,30代子育て層,2024-08-16,5,6,7.1
L00021,073229,C0002,育児,子育て施設チェックイン,30代子育て層,2024-10-30,5,6,6.6
L00022,073229,C0002,育児,保育所申込(窓口),30代子育て層,2024-12-14,5,6,7.6
L00023,073229,C0002,育児,子育て施設チェックイン,30代子育て層,2024-09-25,5,6,8.0
L00024,073229,C0002,育児,子育て相談,30代子育て層,2024-08-31,5,6,8.0
L00025,073229,C0002,育児,子育て相談,30代子育て層,2024-10-14,5,6,6.3
